target,candidate_locus,locus_chrom,locus_start,locus_end,distance_to_tss_bp,supporting_nkx21_experiments,n_overlap_h3k27ac_fetal,n_overlap_h3k27ac_adult,n_overlap_h3k4me1_fetal,n_overlap_h3k4me1_adult,n_overlap_h3k4me3_fetal,n_overlap_h3k4me3_adult,n_overlap_h3k9ac_fetal,n_overlap_h3k9ac_adult,n_overlap_h3k4me2_fetal,n_overlap_h3k4me2_adult,n_overlap_repressive_fetal,n_overlap_repressive_adult,n_overlap_active_mouse,histone_evidence_summary,histone_source_context,updated_tier,justification
SFTPC,chr8:22092696-22093238,chr8,22092696,22093238,-63946,SRX12008014;SRX12008015;SRX174817;SRX174819;SRX2164786;SRX366169;SRX366170,0,0,0,0,0,0,0,0,0,0,0,0,0,no overlap with active or repressive marks,none,strong_distal_candidate_without_chromatin_support,Human lung tissue active-mark histone ChIP exists for this chromosome but no peak overlaps the SFTPC candidate at chr8:22092696-22093238. Counts: H3K27ac fetal=0/adult=0; H3K4me1 fetal=0/adult=0; H3K4me3 fetal=0/adult=0; repressive fetal=0/adult=0. Lung-bulk-tissue inactivity does not preclude cell-type-specific activity.
SCGB1A1,chr11:62326687-62326970,chr11,62326687,62326970,-78275,SRX12008015;SRX174815;SRX174819;SRX2164786;SRX366169;SRX366170,0,0,0,0,0,0,0,0,0,0,0,0,0,no overlap with active or repressive marks,none,strong_distal_candidate_without_chromatin_support,Human lung tissue active-mark histone ChIP exists for this chromosome but no peak overlaps the SCGB1A1 candidate at chr11:62326687-62326970. Counts: H3K27ac fetal=0/adult=0; H3K4me1 fetal=0/adult=0; H3K4me3 fetal=0/adult=0; repressive fetal=0/adult=0. Lung-bulk-tissue inactivity does not preclude cell-type-specific activity.
SCGB1A1,chr11:62497136-62497594,chr11,62497136,62497594,92262,SRX12008015;SRX174819;SRX2164786;SRX2164788;SRX366169;SRX366170,0,1,0,1,0,0,0,0,0,0,0,0,0,h3k27ac(adult)=1; h3k4me1(adult)=1,human_adult_lung_tissue,strong_distal_candidate_with_chromatin_support,"Active-mark histone peak in human lung tissue overlaps the SCGB1A1 candidate at chr11:62497136-62497594. Counts: H3K27ac fetal=0/adult=1; H3K4me1 fetal=0/adult=1; H3K4me3 fetal=0/adult=0; repressive fetal=0/adult=0. Active-mark overlap raises the prior that this is a regulatory candidate but does not confirm enhancer function, regulatory action on the target, or developmental NKX2-1 binding (the supporting NKX2-1 ChIP remains cancer-line context)."
SCGB1A1,chr11:62534332-62534655,chr11,62534332,62534655,129390,SRX12008006;SRX12008007;SRX12008008;SRX12008010;SRX12008011;SRX12008017;SRX12008018;SRX2164786;SRX366169;SRX366170,0,0,1,0,0,0,0,0,0,0,0,0,0,h3k4me1(fetal)=1,human_fetal_lung,strong_distal_candidate_with_chromatin_support,"Active-mark histone peak in human lung tissue overlaps the SCGB1A1 candidate at chr11:62534332-62534655. Counts: H3K27ac fetal=0/adult=0; H3K4me1 fetal=1/adult=0; H3K4me3 fetal=0/adult=0; repressive fetal=0/adult=0. Active-mark overlap raises the prior that this is a regulatory candidate but does not confirm enhancer function, regulatory action on the target, or developmental NKX2-1 binding (the supporting NKX2-1 ChIP remains cancer-line context)."
ABCA3,chr16:2155403-2155753,chr16,2155403,2155753,185171,SRX12008014;SRX12008015;SRX12008019;SRX174817;SRX174819;SRX2164786;SRX366169,0,1,0,0,1,1,0,0,0,0,0,0,0,h3k27ac(adult)=1; h3k4me3(fetal)=1; h3k4me3(adult)=1,"human_adult_lung_tissue,human_fetal_lung",strong_distal_candidate_with_chromatin_support,"Active-mark histone peak in human lung tissue overlaps the ABCA3 candidate at chr16:2155403-2155753. Counts: H3K27ac fetal=0/adult=1; H3K4me1 fetal=0/adult=0; H3K4me3 fetal=1/adult=1; repressive fetal=0/adult=0. Active-mark overlap raises the prior that this is a regulatory candidate but does not confirm enhancer function, regulatory action on the target, or developmental NKX2-1 binding (the supporting NKX2-1 ChIP remains cancer-line context)."
ABCA3,chr16:2231273-2231642,chr16,2231273,2231642,109292,SRX12008006;SRX12008007;SRX12008010;SRX12008017;SRX12008018;SRX2164786;SRX366169;SRX366170,0,0,0,0,0,0,0,0,0,0,0,1,0,no active overlap; repressive(adult)=1,none,downgraded_candidate,"Only repressive marks (H3K27me3 / H3K9me3) overlap the ABCA3 candidate at chr16:2231273-2231642 in human lung tissue. Counts: H3K27ac fetal=0/adult=0; H3K4me1 fetal=0/adult=0; H3K4me3 fetal=0/adult=0; repressive fetal=0/adult=1. Polycomb-state at this locus weakens the candidate, but repressive marks are dynamic across developmental stages."
ABCA3,chr16:2399387-2399683,chr16,2399387,2399683,-58786,SRX12008015;SRX174819;SRX2164786;SRX366169;SRX366170,0,0,0,0,0,0,0,0,0,0,0,0,0,no overlap with active or repressive marks,none,strong_distal_candidate_without_chromatin_support,Human lung tissue active-mark histone ChIP exists for this chromosome but no peak overlaps the ABCA3 candidate at chr16:2399387-2399683. Counts: H3K27ac fetal=0/adult=0; H3K4me1 fetal=0/adult=0; H3K4me3 fetal=0/adult=0; repressive fetal=0/adult=0. Lung-bulk-tissue inactivity does not preclude cell-type-specific activity.
ABCA3,chr16:2490817-2491230,chr16,2490817,2491230,-150274,SRX12008006;SRX12008007;SRX12008008;SRX12008009;SRX12008010;SRX12008011;SRX12008017;SRX12008018;SRX12008019,0,0,0,0,0,0,0,0,0,0,0,0,0,no overlap with active or repressive marks,none,strong_distal_candidate_without_chromatin_support,Human lung tissue active-mark histone ChIP exists for this chromosome but no peak overlaps the ABCA3 candidate at chr16:2490817-2491230. Counts: H3K27ac fetal=0/adult=0; H3K4me1 fetal=0/adult=0; H3K4me3 fetal=0/adult=0; repressive fetal=0/adult=0. Lung-bulk-tissue inactivity does not preclude cell-type-specific activity.
FOXA2,chr20:22390152-22390606,chr20,22390152,22390606,195076,SRX12008015;SRX174819;SRX2164786;SRX366169;SRX366170,0,2,1,0,0,0,0,0,0,0,0,0,0,h3k27ac(adult)=2; h3k4me1(fetal)=1,"human_adult_lung_tissue,human_fetal_lung",strong_distal_candidate_with_chromatin_support,"Active-mark histone peak in human lung tissue overlaps the FOXA2 candidate at chr20:22390152-22390606. Counts: H3K27ac fetal=0/adult=2; H3K4me1 fetal=1/adult=0; H3K4me3 fetal=0/adult=0; repressive fetal=0/adult=0. Active-mark overlap raises the prior that this is a regulatory candidate but does not confirm enhancer function, regulatory action on the target, or developmental NKX2-1 binding (the supporting NKX2-1 ChIP remains cancer-line context)."
FOXA2,chr20:22463535-22464025,chr20,22463535,22464025,121675,SRX12008006;SRX12008007;SRX12008008;SRX12008009;SRX12008010;SRX12008015;SRX12008016;SRX12008018;SRX12008020;SRX174819;SRX2164786;SRX2164788,0,0,0,0,0,0,0,0,0,0,0,0,0,no overlap with active or repressive marks,none,strong_distal_candidate_without_chromatin_support,Human lung tissue active-mark histone ChIP exists for this chromosome but no peak overlaps the FOXA2 candidate at chr20:22463535-22464025. Counts: H3K27ac fetal=0/adult=0; H3K4me1 fetal=0/adult=0; H3K4me3 fetal=0/adult=0; repressive fetal=0/adult=0. Lung-bulk-tissue inactivity does not preclude cell-type-specific activity.
