threshold,target,target_locus,n_experiments_total,n_proximal_cancer,n_proximal_mrc5,n_nearby_cancer,n_nearby_mrc5,n_distal_cancer,n_distal_mrc5,n_no_local_total,n_download_failed,final_class,class_at_other_threshold,class_changed,justification
bed05,TP63,chr3:189631389 (+) — Ensembl ENSG00000073282 (chr3:189631389-189897276 +),27,0,0,0,0,5,0,22,0,distal_candidate_support_only,distal_candidate_support_only,no,"At q < 1e-5: zero proximal/nearby peaks; distal candidate support = 5 (cancer=5, MRC-5=0) within 50-200 kb. Candidate distal regulatory binding only; requires Hi-C / functional validation."
bed05,KRT5,chr12:52520530 (-) — Ensembl ENSG00000186081 (chr12:52514575-52520530 -),27,0,0,2,0,1,0,24,0,lung_context_source_only,distal_candidate_support_only,yes,"At q < 1e-5: zero proximal-promoter peaks; nearby support = 2 (cancer=2, MRC-5=0). Distal binding plausible; proximal absent."
bed05,MUC5B,chr11:1223066 (+) — Ensembl ENSG00000117983 (chr11:1223066-1262172 +),27,0,0,0,0,0,0,27,0,no_locus_support,no_locus_support,no,At q < 1e-5: no SOX2 peaks within +/- 200 kb of MUC5B TSS in any of 27 checked experiments. Substantive negative finding at this threshold within the cancer-line + MRC-5 reprogramming substrate.
bed05,FOXJ1,chr17:76141245 (-) — Ensembl ENSG00000129654 (chr17:76136333-76141245 -),27,0,0,2,0,4,0,21,0,lung_context_source_only,lung_context_source_only,no,"At q < 1e-5: zero proximal-promoter peaks; nearby support = 2 (cancer=2, MRC-5=0). Distal binding plausible; proximal absent."
bed05,SCGB1A1,chr11:62405103 (+) — Ensembl ENSG00000169035 (chr11:62405103-62423195 +),27,0,0,1,0,3,0,23,0,lung_context_source_only,distal_candidate_support_only,yes,"At q < 1e-5: zero proximal-promoter peaks; nearby support = 1 (cancer=1, MRC-5=0). Distal binding plausible; proximal absent."
bed05,NKX2-1,chr14:36521149 (-) — Ensembl ENSG00000136352 (chr14:36516392-36521149 -),27,0,0,2,0,1,0,24,0,lung_context_source_only,lung_context_source_only,no,"At q < 1e-5: zero proximal-promoter peaks; nearby support = 2 (cancer=2, MRC-5=0). Distal binding plausible; proximal absent."
bed05,SOX9,chr17:72121020 (+) — Ensembl ENSG00000125398 (chr17:72121020-72126416 +),27,0,0,1,0,2,0,24,0,lung_context_source_only,lung_context_source_only,no,"At q < 1e-5: zero proximal-promoter peaks; nearby support = 1 (cancer=1, MRC-5=0). Distal binding plausible; proximal absent."
bed10,TP63,chr3:189631389 (+) — Ensembl ENSG00000073282 (chr3:189631389-189897276 +),27,0,0,0,0,3,0,24,0,distal_candidate_support_only,distal_candidate_support_only,no,"At q < 1e-10: zero proximal/nearby peaks; distal candidate support = 3 (cancer=3, MRC-5=0) within 50-200 kb. Candidate distal regulatory binding only; requires Hi-C / functional validation."
bed10,KRT5,chr12:52520530 (-) — Ensembl ENSG00000186081 (chr12:52514575-52520530 -),27,0,0,0,0,1,0,26,0,distal_candidate_support_only,lung_context_source_only,yes,"At q < 1e-10: zero proximal/nearby peaks; distal candidate support = 1 (cancer=1, MRC-5=0) within 50-200 kb. Candidate distal regulatory binding only; requires Hi-C / functional validation."
bed10,MUC5B,chr11:1223066 (+) — Ensembl ENSG00000117983 (chr11:1223066-1262172 +),27,0,0,0,0,0,0,27,0,no_locus_support,no_locus_support,no,At q < 1e-10: no SOX2 peaks within +/- 200 kb of MUC5B TSS in any of 27 checked experiments. Substantive negative finding at this threshold within the cancer-line + MRC-5 reprogramming substrate.
bed10,FOXJ1,chr17:76141245 (-) — Ensembl ENSG00000129654 (chr17:76136333-76141245 -),27,0,0,1,0,2,0,24,0,lung_context_source_only,lung_context_source_only,no,"At q < 1e-10: zero proximal-promoter peaks; nearby support = 1 (cancer=1, MRC-5=0). Distal binding plausible; proximal absent."
bed10,SCGB1A1,chr11:62405103 (+) — Ensembl ENSG00000169035 (chr11:62405103-62423195 +),27,0,0,0,0,2,0,25,0,distal_candidate_support_only,lung_context_source_only,yes,"At q < 1e-10: zero proximal/nearby peaks; distal candidate support = 2 (cancer=2, MRC-5=0) within 50-200 kb. Candidate distal regulatory binding only; requires Hi-C / functional validation."
bed10,NKX2-1,chr14:36521149 (-) — Ensembl ENSG00000136352 (chr14:36516392-36521149 -),27,0,0,2,0,0,0,25,0,lung_context_source_only,lung_context_source_only,no,"At q < 1e-10: zero proximal-promoter peaks; nearby support = 2 (cancer=2, MRC-5=0). Distal binding plausible; proximal absent."
bed10,SOX9,chr17:72121020 (+) — Ensembl ENSG00000125398 (chr17:72121020-72126416 +),27,0,0,1,0,1,0,25,0,lung_context_source_only,lung_context_source_only,no,"At q < 1e-10: zero proximal-promoter peaks; nearby support = 1 (cancer=1, MRC-5=0). Distal binding plausible; proximal absent."
