target,target_tss,locus_chrom,locus_start,locus_end,locus_midpoint,locus_width_bp,distance_to_tss_bp,distance_band,n_experiments_supporting,n_experiments_at_bed10,n_experiments_at_bed05,support_pattern,support_concentration_metric_bp,supporting_experiment_ids,biosample_summary,candidate_tier,justification
SFTPC,chr8:22156913 (+),chr8,22010225,22010304,22010264,79,-146649,100-200kb_upstream,1,0,1,concentrated,79,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 0 (any-threshold = 1). Locus is concentrated (width = 79 bp), in band 100-200kb_upstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22054139,22054257,22054198,118,-102715,100-200kb_upstream,1,1,1,concentrated,118,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 1 (any-threshold = 1). Locus is concentrated (width = 118 bp), in band 100-200kb_upstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22060313,22061593,22060953,1280,-95960,50-100kb_upstream,1,0,1,moderately_concentrated,1280,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 0 (any-threshold = 1). Locus is moderately_concentrated (width = 1280 bp), in band 50-100kb_upstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22092696,22093238,22092967,542,-63946,50-100kb_upstream,7,5,7,concentrated,542,SRX12008014;SRX12008015;SRX174817;SRX174819;SRX2164786;SRX366169;SRX366170,cancer_lung_line=7,strong_distal_candidate,"Strong distal candidate: warrants Hi-C / promoter-capture / perturbation follow-up. Tier driven by bed10 support count = 5 (any-threshold = 7). Locus is concentrated (width = 542 bp), in band 50-100kb_upstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22101487,22101584,22101535,97,-55378,50-100kb_upstream,1,1,1,concentrated,97,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 1 (any-threshold = 1). Locus is concentrated (width = 97 bp), in band 50-100kb_upstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22210828,22211217,22211022,389,54109,50-100kb_downstream,3,2,3,concentrated,389,SRX2164786;SRX366169;SRX366170,cancer_lung_line=3,weak_distal_candidate,"Weak distal candidate. Tier driven by bed10 support count = 2 (any-threshold = 3). Locus is concentrated (width = 389 bp), in band 50-100kb_downstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22225020,22225264,22225142,244,68229,50-100kb_downstream,1,0,1,concentrated,244,SRX12008017,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 0 (any-threshold = 1). Locus is concentrated (width = 244 bp), in band 50-100kb_downstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22227824,22228068,22227946,244,71033,50-100kb_downstream,3,3,3,concentrated,244,SRX2164786;SRX366169;SRX366170,cancer_lung_line=3,moderate_distal_candidate,"Moderate distal candidate. Tier driven by bed10 support count = 3 (any-threshold = 3). Locus is concentrated (width = 244 bp), in band 50-100kb_downstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22237408,22237523,22237465,115,80552,50-100kb_downstream,1,1,1,concentrated,115,SRX2164786,cancer_lung_line=1,low_priority_or_likely_noise,"Low-priority candidate (single experiment); likely noise or cell-line-specific. Tier driven by bed10 support count = 1 (any-threshold = 1). Locus is concentrated (width = 115 bp), in band 50-100kb_downstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
SFTPC,chr8:22156913 (+),chr8,22245176,22245423,22245299,247,88386,50-100kb_downstream,5,0,5,concentrated,247,SRX12008015;SRX174819;SRX2164786;SRX366169;SRX366170,cancer_lung_line=5,moderate_distal_candidate,"Moderate distal candidate. Tier driven by bed10 support count = 0 (any-threshold = 5). Locus is concentrated (width = 247 bp), in band 50-100kb_downstream relative to SFTPC TSS. Candidate-level only: cancer-line ChIP does not establish developmental binding; locus-distance proximity does not establish regulatory contact."
