threshold,target,target_locus,n_experiments_total,n_proximal_cancer,n_proximal_noncancer,n_nearby_cancer,n_nearby_noncancer,n_distal_cancer,n_distal_noncancer,n_no_local_cancer,n_no_local_noncancer,n_download_failed,final_class,class_at_other_threshold,class_changed,justification
bed05,SFTPC,chr8:22156913 (+) — Ensembl ENSG00000168484,21,0,0,3,0,5,0,13,0,0,lung_context_source_only,lung_context_source_only,no,At q < 1e-5: zero proximal-promoter peaks; 3 experiment(s) show peaks within 5-50 kb of SFTPC TSS (nearby band). Distal regulatory binding plausible but proximal binding is absent at this threshold.
bed05,SFTPB,chr2:85668741 (-) — Ensembl ENSG00000168878,21,10,0,10,0,0,0,1,0,0,peak_validated_in_cancer_lung_context_only,peak_validated_in_cancer_lung_context_only,no,At q < 1e-5: 10 cancer experiment(s) show NKX2-1 peak <= 5 kb of SFTPB TSS; zero non-cancer support exists in ChIP-Atlas hg38. Cancer-line locus support is real but does not establish developmental binding.
bed05,SCGB1A1,chr11:62405103 (+) — Ensembl ENSG00000169035,21,0,0,5,0,9,0,7,0,0,lung_context_source_only,lung_context_source_only,no,At q < 1e-5: zero proximal-promoter peaks; 5 experiment(s) show peaks within 5-50 kb of SCGB1A1 TSS (nearby band). Distal regulatory binding plausible but proximal binding is absent at this threshold.
bed05,ABCA3,chr16:2340749 (-) — Ensembl ENSG00000167972,21,3,0,4,0,11,0,3,0,0,peak_validated_in_cancer_lung_context_only,lung_context_source_only,yes,At q < 1e-5: 3 cancer experiment(s) show NKX2-1 peak <= 5 kb of ABCA3 TSS; zero non-cancer support exists in ChIP-Atlas hg38. Cancer-line locus support is real but does not establish developmental binding.
bed05,SOX2,chr3:181711925 (+) — Ensembl ENSG00000181449,21,5,0,4,0,2,0,10,0,0,peak_validated_in_cancer_lung_context_only,peak_validated_in_cancer_lung_context_only,no,At q < 1e-5: 5 cancer experiment(s) show NKX2-1 peak <= 5 kb of SOX2 TSS; zero non-cancer support exists in ChIP-Atlas hg38. Cancer-line locus support is real but does not establish developmental binding.
bed05,SOX9,chr17:72121020 (+) — Ensembl ENSG00000125398,21,3,0,4,0,6,0,8,0,0,peak_validated_in_cancer_lung_context_only,peak_validated_in_cancer_lung_context_only,no,At q < 1e-5: 3 cancer experiment(s) show NKX2-1 peak <= 5 kb of SOX9 TSS; zero non-cancer support exists in ChIP-Atlas hg38. Cancer-line locus support is real but does not establish developmental binding.
bed05,FOXA2,chr20:22585455 (-) — Ensembl ENSG00000125798,21,1,0,4,0,13,0,3,0,0,peak_validated_in_cancer_lung_context_only,lung_context_source_only,yes,At q < 1e-5: 1 cancer experiment(s) show NKX2-1 peak <= 5 kb of FOXA2 TSS; zero non-cancer support exists in ChIP-Atlas hg38. Cancer-line locus support is real but does not establish developmental binding.
bed10,SFTPC,chr8:22156913 (+) — Ensembl ENSG00000168484,21,0,0,3,0,2,0,16,0,0,lung_context_source_only,lung_context_source_only,no,At q < 1e-10: zero proximal-promoter peaks; 3 experiment(s) show peaks within 5-50 kb of SFTPC TSS (nearby band). Distal regulatory binding plausible but proximal binding is absent at this threshold.
bed10,SFTPB,chr2:85668741 (-) — Ensembl ENSG00000168878,21,7,0,12,0,0,0,2,0,0,peak_validated_in_cancer_lung_context_only,peak_validated_in_cancer_lung_context_only,no,At q < 1e-10: 7 cancer experiment(s) show NKX2-1 peak <= 5 kb of SFTPB TSS; zero non-cancer support exists in ChIP-Atlas hg38. Cancer-line locus support is real but does not establish developmental binding.
bed10,SCGB1A1,chr11:62405103 (+) — Ensembl ENSG00000169035,21,0,0,5,0,4,0,12,0,0,lung_context_source_only,lung_context_source_only,no,At q < 1e-10: zero proximal-promoter peaks; 5 experiment(s) show peaks within 5-50 kb of SCGB1A1 TSS (nearby band). Distal regulatory binding plausible but proximal binding is absent at this threshold.
bed10,ABCA3,chr16:2340749 (-) — Ensembl ENSG00000167972,21,0,0,4,0,9,0,8,0,0,lung_context_source_only,peak_validated_in_cancer_lung_context_only,yes,At q < 1e-10: zero proximal-promoter peaks; 4 experiment(s) show peaks within 5-50 kb of ABCA3 TSS (nearby band). Distal regulatory binding plausible but proximal binding is absent at this threshold.
bed10,SOX2,chr3:181711925 (+) — Ensembl ENSG00000181449,21,3,0,2,0,1,0,15,0,0,peak_validated_in_cancer_lung_context_only,peak_validated_in_cancer_lung_context_only,no,At q < 1e-10: 3 cancer experiment(s) show NKX2-1 peak <= 5 kb of SOX2 TSS; zero non-cancer support exists in ChIP-Atlas hg38. Cancer-line locus support is real but does not establish developmental binding.
bed10,SOX9,chr17:72121020 (+) — Ensembl ENSG00000125398,21,3,0,2,0,0,0,16,0,0,peak_validated_in_cancer_lung_context_only,peak_validated_in_cancer_lung_context_only,no,At q < 1e-10: 3 cancer experiment(s) show NKX2-1 peak <= 5 kb of SOX9 TSS; zero non-cancer support exists in ChIP-Atlas hg38. Cancer-line locus support is real but does not establish developmental binding.
bed10,FOXA2,chr20:22585455 (-) — Ensembl ENSG00000125798,21,0,0,3,0,10,0,8,0,0,lung_context_source_only,peak_validated_in_cancer_lung_context_only,yes,At q < 1e-10: zero proximal-promoter peaks; 3 experiment(s) show peaks within 5-50 kb of FOXA2 TSS (nearby band). Distal regulatory binding plausible but proximal binding is absent at this threshold.
