threshold,target,target_locus,n_experiments_total,n_proximal_cancer,n_proximal_esc,n_nearby_cancer,n_nearby_esc,n_distal_cancer,n_distal_esc,n_no_local_total,n_download_failed,final_class,class_at_other_threshold,class_changed,justification
bed05,SFTPC,chr8:22156913 (+) — Ensembl ENSG00000168484,27,0,0,5,0,2,0,20,0,non_lung_context_source_only,non_lung_context_source_only,no,"At q < 1e-5: zero proximal-promoter peaks; 5 experiment(s) show peaks within 5-50 kb of SFTPC TSS (cancer=5, ESC=0)."
bed05,SFTPB,chr2:85668741 (-) — Ensembl ENSG00000168878,27,0,0,1,0,9,0,17,0,non_lung_context_source_only,distal_candidate_support_only,yes,"At q < 1e-5: zero proximal-promoter peaks; 1 experiment(s) show peaks within 5-50 kb of SFTPB TSS (cancer=1, ESC=0)."
bed05,ID2,chr2:8678845 (+) — Ensembl ENSG00000115738,27,3,0,0,0,1,0,23,0,peak_validated_in_non_lung_context_only,peak_validated_in_non_lung_context_only,no,"At q < 1e-5: 3 non-lung experiment(s) show SOX9 peak <= 5 kb of ID2 TSS (cancer=3, ESC=0). SOX9 ChIP-Atlas hg38 has zero lung-context experiments; the audit's information ceiling is bounded by non-lung substrate. Cross-context binding does not validate the lung-developmental claim."
bed05,HOPX,chr4:56681877 (-) — Ensembl ENSG00000171476,27,0,0,0,0,3,0,24,0,distal_candidate_support_only,no_locus_support,yes,"At q < 1e-5: zero proximal/nearby peaks; 3 experiment(s) show peaks within 50-200 kb of HOPX TSS (cancer=3, ESC=0). Candidate distal regulatory binding only; requires functional validation."
bed05,AGER,chr6:32184344 (-) — Ensembl ENSG00000204305,27,0,0,7,0,0,0,20,0,non_lung_context_source_only,non_lung_context_source_only,no,"At q < 1e-5: zero proximal-promoter peaks; 7 experiment(s) show peaks within 5-50 kb of AGER TSS (cancer=7, ESC=0)."
bed05,NKX2-1,chr14:36521149 (-) — Ensembl ENSG00000136352,27,1,0,1,0,0,0,25,0,peak_validated_in_non_lung_context_only,distal_candidate_support_only,yes,"At q < 1e-5: 1 non-lung experiment(s) show SOX9 peak <= 5 kb of NKX2-1 TSS (cancer=1, ESC=0). SOX9 ChIP-Atlas hg38 has zero lung-context experiments; the audit's information ceiling is bounded by non-lung substrate. Cross-context binding does not validate the lung-developmental claim."
bed05,SOX2,chr3:181711925 (+) — Ensembl ENSG00000181449,27,0,0,0,0,0,0,27,0,no_locus_support,no_locus_support,no,At q < 1e-5: no SOX9 peaks within +/- 200 kb of SOX2 TSS in any of the 27 checked experiments.
bed10,SFTPC,chr8:22156913 (+) — Ensembl ENSG00000168484,27,0,0,3,0,1,0,23,0,non_lung_context_source_only,non_lung_context_source_only,no,"At q < 1e-10: zero proximal-promoter peaks; 3 experiment(s) show peaks within 5-50 kb of SFTPC TSS (cancer=3, ESC=0)."
bed10,SFTPB,chr2:85668741 (-) — Ensembl ENSG00000168878,27,0,0,0,0,4,0,23,0,distal_candidate_support_only,non_lung_context_source_only,yes,"At q < 1e-10: zero proximal/nearby peaks; 4 experiment(s) show peaks within 50-200 kb of SFTPB TSS (cancer=4, ESC=0). Candidate distal regulatory binding only; requires functional validation."
bed10,ID2,chr2:8678845 (+) — Ensembl ENSG00000115738,27,1,0,2,0,0,0,24,0,peak_validated_in_non_lung_context_only,peak_validated_in_non_lung_context_only,no,"At q < 1e-10: 1 non-lung experiment(s) show SOX9 peak <= 5 kb of ID2 TSS (cancer=1, ESC=0). SOX9 ChIP-Atlas hg38 has zero lung-context experiments; the audit's information ceiling is bounded by non-lung substrate. Cross-context binding does not validate the lung-developmental claim."
bed10,HOPX,chr4:56681877 (-) — Ensembl ENSG00000171476,27,0,0,0,0,0,0,27,0,no_locus_support,distal_candidate_support_only,yes,At q < 1e-10: no SOX9 peaks within +/- 200 kb of HOPX TSS in any of the 27 checked experiments.
bed10,AGER,chr6:32184344 (-) — Ensembl ENSG00000204305,27,0,0,6,0,0,0,21,0,non_lung_context_source_only,non_lung_context_source_only,no,"At q < 1e-10: zero proximal-promoter peaks; 6 experiment(s) show peaks within 5-50 kb of AGER TSS (cancer=6, ESC=0)."
bed10,NKX2-1,chr14:36521149 (-) — Ensembl ENSG00000136352,27,0,0,0,0,2,0,25,0,distal_candidate_support_only,peak_validated_in_non_lung_context_only,yes,"At q < 1e-10: zero proximal/nearby peaks; 2 experiment(s) show peaks within 50-200 kb of NKX2-1 TSS (cancer=2, ESC=0). Candidate distal regulatory binding only; requires functional validation."
bed10,SOX2,chr3:181711925 (+) — Ensembl ENSG00000181449,27,0,0,0,0,0,0,27,0,no_locus_support,no_locus_support,no,At q < 1e-10: no SOX9 peaks within +/- 200 kb of SOX2 TSS in any of the 27 checked experiments.
